PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),Ozone (ug/m3),Air_Quality_Index(AQI),AQI Category,Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),T,TM,Tm,SLP,H,VV,V,VM
59.35,9.06,21.65,26.83,2.13,17.35,98,1,1.9,3.49,18.22,70.98,0.84,259.48,106.03,24.9,31.7,18.2,1012,68,2.4,10.2,24.1
82.47,18.52,26.31,40.97,2.56,11.15,172,2,2.91,5.33,19.92,57.59,0.55,218.93,109.41,24.8,32.8,19,1010,69,2.7,7.6,18.3
93.44,26.25,41.83,57.47,3.54,20.98,207,3,4.08,7.47,21.28,56.09,0.59,175.83,99.3,25.8,34.6,17,1010.2,67,2.6,1.5,7.6
91.08,43.72,31.19,64,4.83,23.42,201,3,9.6,8.32,22.06,66.01,0.54,198.14,99.53,26.8,35.1,18.5,1011.7,68,2.3,2.6,11.1
46.12,5.4,17.48,20.69,9.52,30.15,77,1,10.11,2.69,22.43,52.7,1.29,219.35,110.25,28.6,36.5,20.3,1012.4,59,1.8,9.3,55.4
73.45,25.77,27.71,49.49,18.52,16.48,141,2,3.51,6.43,24.77,45.27,0.68,272.28,107.36,27.7,35.6,20.4,1011.7,54,2.7,7.4,24.1
93.83,59.41,35.98,83.52,26.6,15.46,207,3,5.93,10.86,20.75,51.69,1.08,131.33,58.55,26.9,36.1,17.6,1009.6,56,2.7,3.7,13
50.94,5.63,21.56,20.39,11.29,16.75,83,1,1.45,2.65,17.86,71.71,1.75,128.49,99,25,36.1,20,1008.4,60,1.9,13.3,22.2
42.9,4.72,17.13,22.9,9.06,17.39,70,1,1.63,2.98,20.25,64.41,1.16,136.15,95.4,23.4,30.1,18.9,1010.5,73,3.4,14.8,25.9
104.19,49.67,38.1,74.1,28.83,25.02,245,3,5.26,9.63,20.51,65.4,0.55,152.16,104.38,25.1,30.8,19,1010.4,70,2.1,3.7,11.1
59.14,5.09,29.35,35.04,14.02,21.65,98,1,2.49,4.56,21.64,54.83,0.96,123.79,68.1,26.4,32.5,20.3,1007.4,64,1.9,2.4,9.4
66.36,4.31,20.47,36.27,16.28,20.21,118,2,2.57,4.71,20.16,75.63,1.11,152.86,112.9,28.7,34.7,21,1004.7,53,1.9,9.4,18.3
35.14,3.44,8.14,19.5,7.19,28.44,59,1,1.38,2.53,20.78,69.29,0.74,173.79,233.27,24.4,34.7,19,1004.6,76,3.1,7,14.8
85.92,8.58,26.17,55.51,22.02,55,182,2,3.94,7.22,20.48,73.29,0.62,137.14,114.39,21,30.4,17,1005.5,81,2.3,1.5,7.6
57.33,2.85,17.12,29.42,4.08,24.94,95,1,2.09,3.82,21.1,63.79,1.12,133.61,115.03,25.1,31.4,17.4,1007.6,64,2.6,2.8,11.1
87.79,10.75,25.06,47.49,8.21,22.56,189,2,3.92,7.18,22.34,59.35,0.82,180.22,117.68,23.9,31.4,19.2,1010.2,69,1.9,9.8,13
24.63,3.33,12.84,24.1,1.26,18.37,40,1,1.71,3.13,28.03,39.05,0.96,119.93,265.71,27.1,34.7,18.3,1008.6,55,2.7,6.3,20.6
73,16.94,28.68,37.01,4.04,28.82,141,2,2.63,4.81,18.68,58.63,0.95,174.69,37.95,28.3,36.2,19.2,1008.5,50,2.7,8.1,22.2
23.95,6.97,2.67,17.88,1.55,29.91,38,1,1.17,2.15,14.78,49.23,1.06,129.92,201.48,24.9,32.2,19,1013.7,74,2.3,7,13
27.27,8.66,21,21.43,4.36,25.44,45,1,1.52,3.93,20,59.96,0.62,149.59,103.34,26.4,32.5,20,1012.8,68,2.6,3,11.1
38,12.03,21.3,33.21,3.22,12.54,64,1,2.36,14.28,24.11,64.5,1.03,181.27,75.97,27.6,34.3,20.8,1013,65,3.1,5.9,14.8
