PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),Benzene (ug/m3),T,TM,Tm,SLP,H,VV
59.35,9.06,21.65,26.83,1.9,24.9,31.7,18.2,1012,68,2.4
82.47,18.52,26.31,40.97,2.91,24.8,32.8,19,1010,69,2.7
93.44,26.25,41.83,57.47,4.08,25.8,34.6,17,1010.2,67,2.6
91.08,43.72,31.19,64,9.6,26.8,35.1,18.5,1011.7,68,2.3
46.12,5.4,17.48,20.69,10.11,28.6,36.5,20.3,1012.4,59,1.8
73.45,25.77,27.71,49.49,3.51,27.7,35.6,20.4,1011.7,54,2.7
93.83,59.41,35.98,83.52,5.93,26.9,36.1,17.6,1009.6,56,2.7
50.94,5.63,21.56,20.39,1.45,25,36.1,20,1008.4,60,1.9
42.9,4.72,17.13,22.9,1.63,23.4,30.1,18.9,1010.5,73,3.4
104.19,49.67,38.1,74.1,5.26,25.1,30.8,19,1010.4,70,2.1
59.14,5.09,29.35,35.04,2.49,26.4,32.5,20.3,1007.4,64,1.9
66.36,4.31,20.47,36.27,2.57,28.7,34.7,21,1004.7,53,1.9
35.14,3.44,8.14,19.5,1.38,24.4,34.7,19,1004.6,76,3.1
85.92,8.58,26.17,55.51,3.94,21,30.4,17,1005.5,81,2.3
57.33,2.85,17.12,29.42,2.09,25.1,31.4,17.4,1007.6,64,2.6
87.79,10.75,25.06,47.49,3.92,23.9,31.4,19.2,1010.2,69,1.9
24.63,3.33,12.84,24.1,1.71,27.1,34.7,18.3,1008.6,55,2.7
73,16.94,28.68,37.01,2.63,28.3,36.2,19.2,1008.5,50,2.7
23.95,6.97,2.67,17.88,1.17,24.9,32.2,19,1013.7,74,2.3
27.27,8.66,21,21.43,1.52,26.4,32.5,20,1012.8,68,2.6
38,12.03,21.3,33.21,2.36,27.6,34.3,20.8,1013,65,3.1
44.31,7.09,25.75,31.36,2.23,25.2,34.3,21.2,1013.9,64,2.6
55.08,17.95,35.81,49.12,3.49,28,35.3,20,1007.1,54,2.7
76.06,47.16,41.31,75.17,5.34,30.2,38,21.8,1002.4,50,2.3
57.29,12.3,44.92,52.99,3.76,32,40.6,21.6,1003.9,45,2.7
50.25,9.94,36.08,40.97,2.91,32.8,40.6,26,1005.8,45,1.9
58.35,17.88,41.4,53.59,3.8,31.8,39.6,25.4,1005.6,35,1.9
65.58,24.09,48,64.48,4.58,30.8,38.6,21,1003.4,33,2.7
89.94,74.64,55,111.36,7.91,30.9,39.5,21.1,1004,38,2.7
67.73,14.94,55.54,66,4.69,31.1,39.5,22.7,1004.2,47,2.6
43.96,3.78,27.96,28.43,2.02,30.4,39.1,22.2,1005.9,51,1.9
46.63,4.12,31.35,31.6,2.24,28.8,37.1,22.8,1008,59,1.9
26.86,3.9,14.27,26.9,1.91,30.2,37.1,23.5,1006.7,59,1.9
45.62,4.17,32.52,35.58,2.53,31.1,37.1,24,1004.7,56,2.3
47.44,3.92,36.5,35.4,2.51,31.4,37.2,24.7,1005.1,54,2.6
43.67,3.8,27.23,29.43,2.09,32.7,39.4,25.2,1003.9,52,2.6
53.04,7.02,41.85,46.67,3.31,31.2,39.4,24.2,1005.8,52,2.7
89.83,57.65,60,102.48,7.28,30.2,37.6,23.6,1006.3,47,2.6
78.31,34.71,56.46,83.95,5.96,30.9,38.9,21.7,1006.7,44,2.7
97.83,114.41,69.56,160.87,12.29,30.8,39.5,22,1006.6,43,4.2
90.4,73.62,63.81,116.98,8.31,32.3,40.8,21.3,1004.1,34,2.6
64.02,21.39,46.36,58.9,4.18,34.2,42.7,24.5,1002,27,2.7
56.79,14.65,41.89,49.89,3.54,35.7,42.7,27.6,1003.4,21,1.9
83.5,60.09,47.48,94.3,6.7,34.1,42.7,27,1003.2,29,1.9
65.77,22.67,47.69,61.99,4.4,35.1,42.7,25.7,1001.6,35,2.3
49.48,6.43,35.12,38.02,2.7,35.1,42.6,26.2,1001.4,33,2.3
44,4.92,27.23,27.98,2,34.4,42.3,28.2,1003.5,40,1.9
49.74,8.09,38.11,42.66,3.21,33.1,39.8,26,1004.9,54,1.9
41.69,6.43,23.5,26.02,1.85,28.3,38.7,23.8,1006.5,65,2.4
69.42,50.77,37.15,76.76,5.45,29.9,35.9,22,1007.4,56,2.6
